_SAPPCTXT_HEADER_               002 8000 CHART RO 1404 OK 
100                             017 "General"
1000                            034 "Val.proprietate nevalabilã"
1001                            045 "Dialogul nu poate fi iniþializat"
1002                            030 "Eroare la salvare"
1003                            031 "Eroare la încãrcare!"
1004                            032 "Eroare la tipãrire"
1005                            039 "Insuficientã memorie disponibilã"
1006                            042 "Insuficiente resurse disponibile"
1007                            025 "Index nevalabil"
1008                            028 "Argument nevalabil"
4000                            018 "AAAA;0;0"
4001                            017 "'AA;0;1"
4002                            025 "Lunã, AAAA;2;2"
4003                            022 "Lunã, 'aa;2;3"
4004                            019 "Lunã;2;4"
4005                            017 "Lun;2;5"
4006                            015 "L;2;6"
4007                            015 "l;2;7"
4008                            028 "zz. Lunã aaaa;3;8"
4009                            027 "zz. Lunã 'aa;3;9"
4010                            022 "zz. Lun;3;10"
4011                            020 "zz. L;3;11"
4012                            019 "z.l.;3;12"
4013                            034 "ss, zz. - zz. Lunã;3;13"
4014                            034 "ss, zz.ll. - zz.ll.;3;14"
4015                            038 "ss, zz.ll. - zz.ll.aaaa;3;15"
4016                            036 "ss, zz.ll. - zz.ll.aa;3;16"
4017                            022 "s. Sãpt;3;17"
4018                            016 "s;3;18"
4019                            027 "DtãFereastrã;3;19"
4020                            029 "da zz. Lunã'aa;4;20"
4021                            025 "da zz. Lun;4;21"
4022                            026 "zz. Lunã'aa:4:22"
4023                            022 "zz. Lun;4;23"
4024                            029 "Zi(Sãrbãtoare);4;24"
4025                            017 "Zi;4;25"
4026                            016 "Z;4;26"
4027                            025 "zz.ll.aaaa;4;27"
4028                            027 "Zi, zz.ll.aa;4;28"
4029                            030 "Zi,  zz.ll.aaaa;4;29"
4030                            023 "zz.ll.aa;4;30"
4031                            018 "Zi;4;31"
4032                            028 "zzz, zz.ll.aa;4;32"
4033                            023 "zzz aaaa;4;33"
4034                            022 "zzz 'aa;4;34"
4035                            018 "zzz;4;35"
4036                            027 "DtãFereastrã;4;36"
4037                            032 "Zi zz.ll.aa hh:mm;5;37"
4038                            029 "zz.ll.aa hh:mm;5;38"
4039                            024 "Zi  hh:mm;5;39"
4040                            023 "Zi hh:mm;5;40"
4041                            032 "Zi zz. Lun, hh am;5;41"
4042                            029 "zz. Lun, hh am;5;42"
4043                            028 "Zi Lun, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "Datã Win. ºi orã;5;46"
4047                            027 "Orã Windows;5;47"
4048                            020 "hh;mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "zz;4;50"
4051                            020 "zz.ll;4;59"
4052                            017 "ll;6;51"
4053                            021 "T aaaa;1;52"
4054                            020 "T 'aa;1;53"
4055                            021 "t.aaaa;1;54"
4056                            019 "t.aa;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "CW s;3;58"
4099                            012 "51"
4200                            017 "Ianuarie"
4201                            018 "Februarie"
4202                            015 "Martie"
4203                            015 "Aprilie"
4204                            013 "Mai"
4205                            014 "Iunie"
4206                            014 "Iulie"
4207                            016 "August"
4208                            019 "Septembrie"
4209                            017 "Octombrie"
4210                            018 "Noiembrie"
4211                            018 "Decembrie"
4212                            013 "Ian"
4213                            013 "Feb"
4214                            013 "Mar"
4215                            013 "Aprilie"
4216                            013 "Mai"
4217                            013 "Iun"
4218                            013 "Iul"
4219                            013 "Aug"
4220                            013 "Sep."
4221                            013 "Oct."
4222                            013 "Nov."
4223                            013 "Dec"
4224                            011 "I"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "I"
4230                            011 "I"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "Luni"
4237                            017 "Marþi"
4238                            019 "Miercuri"
4239                            018 "Joi"
4240                            016 "Vineri"
4241                            018 "Sâmbãtã"
4242                            016 "Duminicã"
4243                            012 "Lu"
4244                            012 "Ma"
4245                            012 "Mi"
4246                            012 "Jo"
4247                            012 "Vi"
4248                            012 "Sâ"
4249                            012 "Du"
4250                            011 "L"
4251                            011 "M"
4252                            011 "M"
4253                            011 "J"
4254                            011 "V"
4255                            011 "S"
4256                            011 "D"
4257                            017 "An(i)"
4258                            020 "Trimestru(e)"
4259                            018 "Lunã(i)"
4260                            017 "Sãptãmânã(i)"
4261                            016 "Zi(le)"
4262                            017 "Orã(e)"
4263                            019 "Minut(e)"
4264                            019 "Secundã(e)"
4265                            022 "Timp de lucru"
4270                            014 "Trim."
4271                            014 "Sãptãmânã"
4400                            019 "Selecþie"
4402                            014 "Nimic"
4403                            014 "Text"
4404                            016 "Liniar"
4405                            021 "Logaritmic"
4406                            019 "Potenþial"
4407                            021 "Exponenþial"
4408                            016 "Deplasare"
4409                            017 "Medie"
4415                            021 "Mãrime efectivã"
4416                            015 "În mozaic"
4417                            024 "Comprimare pt.potrivire"
4418                            018 "Potrivire maximã"
4419                            018 "Ajustare conform"
10012                           015 " pe:"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Letter (8,5 * 11 inch)"
10015                           031 "Legal (8,5 * 14 inch)"
10016                           016 "Normal"
10017                           027 "Pag.de tipãrit %1d"
10018                           020 "din %s on"
10019                           054 "O eroare generalã a apãrut în timpul tipãririi."
10020                           070 "Nu existã destulã memorie pe hard disc în timpul tipãririi."
10021                           055 "Nu existã destulã memorie pe hard disc."
10022                           097 "Nici o imprimantã nu a fost instalatã. Instalaþi o imprimantã ºi repetaþi procedura de tipãrire."
10023                           028 "\t[view]\t[date]"
10024                           024 "\tPaginã [page]"
10027                           098 "Imprimanta sau conectare imprimantã sunt nevalabile. Va fi utilizatã imprimanta standard."
12000                           016 "Luni"
12001                           017 "Marþi"
12002                           019 "Miercuri"
12003                           018 "Joi"
12004                           016 "Vineri"
12005                           018 "Sâmbãtã"
12006                           016 "Duminicã"
12007                           017 "Zi a sãptãmânii"
12008                           019 "Weekend-uri"
12009                           018 "Sãrbãtori"
12010                           018 "Vacanþã"
12011                           025 "Zile de absenþã"
12321                           015 "Aplicare"
15000                           016 "Renunþare"
15001                           019 "\t Ctrl+Z"
15002                           014 "Deplasare"
15004                           021 "Modif.mãrime"
15007                           023 "Nedisponibil"
18000                           014 "Font"
18001                           016 "Font:"
18003                           022 "Stil font:"
18005                           016 "Mãrime:"
18007                           017 "Culoare:"
18009                           017 "Efecte"
18010                           024 "Barat"
18011                           020 "Subliniere"
18012                           017 "Previzualizare"
18013                           019 "Grafitti"
18600                           015 "Tipãrire"
18601                           017 "Imprimantã"
18604                           024 "Tipãrire la fiºier"
18605                           024 "Proprietãþi..."
18606                           021 "Interval de tipãr."
18607                           014 "Tot"
18608                           022 "Pagini de la:"
18611                           014 "la:"
18614                           016 "Copii"
18615                           028 "Numãr de copii:"
18619                           018 "Colaþionare"
18620                           024 "Previzualiz.tipãrire"
18621                           024 "Setare paginã..."
18700                           014 "Paginã"
18701                           022 "Dimensiune hârtie:"
18703                           025 "Calitate tipãrire:"
18705                           021 "Orientare"
18706                           019 "Vertical"
18707                           021 "Orizontal"
18708                           016 "Centrare"
18709                           023 "Orizontal"
18710                           021 "Vertical"
18800                           022 "Margini paginã"
18801                           016 "Chenar"
18802                           016 "Stânga:"
18805                           017 "Dreapta:"
18808                           015 "Sus:"
18811                           018 "Jos:"
18814                           017 "Margini"
18815                           018 "Antet:"
18818                           018 "Notã de subsol:"
18821                           017 "Previzualizare"
18900                           017 "Opþiuni"
18901                           017 "Scalare"
18902                           017 "Scalã:"
18905                           018 "Potrivire la:"
18908                           017 "Pagina(i)"
18909                           019 "Vertical"
18910                           021 "Orizontal"
18911                           021 "&Opþiuni..."
19000                           015 "Tipãrire"
20000                           029 "%lz z, %lz h, %lz m"
20001                           022 "%lz h, %lz m"
20002                           014 "ZHM,"
20017                           114 "Marginile imprimantei sunt mai mari decât acele ale pagini. \nTrebuie sã fie adaptate marginile la pagina?"
20018                           056 "Trebuie selectatã o imprimantã capabilã sã tipãreascã."
20019                           020 "Setare paginã"
20020                           014 "Auto"
20023                           041 "Insuficiente resurse disponibile"
20024                           029 "Eroare la salvare"
20025                           030 "Eroare la încãrcare"
20026                           017 "Culoare:"
20027                           022 "Foreground:"
20028                           022 "Background:"
20029                           023 "Culoare haºurã:"
20030                           016 "De la:"
20031                           014 "La:"
20032                           019 "Model:"
20033                           017 "Haºurã:"
20034                           020 "Gradient:"
20064                           019 "Tipãrire..."
20066                           024 "Setare paginã..."
20072                           030 "Închidere previzualiz.tipãr."
20087                           017 "Necunoscut"
20088                           014 "Subþire"
20089                           021 "Foarte subþire"
20090                           015 "Subþire"
20091                           017 "Obiºnuit"
20092                           016 "Mediu"
20093                           018 "Semibold"
20094                           014 "Bold"
20095                           020 "Extra bold"
20096                           015 "Gros"
20097                           021 "Foarte gros"
20098                           017 "Italice"
20099                           017 "Necunoscut"
20105                           019 "Subliniat"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Obiect"
20110                           017 "Obiecte"
20111                           033 "Fiºierul nu a putut fi citit!"
20112                           081 "Nu existã destulã memorie. Închideþi una sau mai multe aplicaþii."
20113                           044 "Stilul selectat nu existã."
20114                           058 "Mãrimea fontului trebuie sã fie între 1 ºi 1635."
20115                           089 "Fontul selectat nu este disponibil în sistemul dvs. Mai doriþi sã-l utilizaþi?"
20119                           020 "Obiect..."
20128                           057 "Factorul de zoom trebuie sã fie între 25% ºi 400%."
20141                           055 "Introduceþi o valoare mai mare decât sau egalã cu 0!"
20142                           055 "Introduceþi o valoare mai mare decât sau egalã cu 1!"
20145                           079 "Numãrul de pagini de ajustat trebuie sã fie cel puþin 1 ºi cel mult 100!"
20147                           014 "Ridicat"
20148                           016 "Mediu"
20149                           013 "Scãzut"
20150                           016 "Schiþã"
20154                           023 "Legendã format"
20162                           091 "Nu existã imprimantã instalatã sau nu a fost definitã nici o imprim.ca imprimantã standard."
22000                           031 "Formatare zonã diagramã..."
22001                           024 "Tip diagramã..."
22002                           025 "Sursã de date..."
22003                           027 "Opþiuni diagramã..."
22004                           021 "Format plot"
22005                           020 "Tip diagr."
22006                           023 "Opþiuni diagramã"
22007                           032 "Formatare serii de date..."
22008                           017 "&ªtergere"
22009                           028 "Formatare serii de date"
22010                           019 "Suprapunere:"
22011                           014 "Renunþare"
22012                           027 "Linii de conectare"
22014                           030 "Mãrime pt. a doua trasare"
22015                           021 "Linii de proiecþie"
22018                           032 "Unghiu al primului segment"
22020                           030 "Mãrime diametru tor:"
22021                           012 "CW"
22022                           032 "Prezentare bubbles negative"
22023                           033 "Potrivire mãrime bulã la:"
22024                           022 "% din implicit"
22025                           031 "Formatare punct date..."
22026                           027 "Formatare punct date"
22027                           032 "Formatare etichete date..."
22028                           028 "Formatare etichete date"
22029                           031 "Formatare etichetã date..."
22030                           027 "Formatare etichetã date"
22031                           018 "Standard"
22032                           025 "Formatare axã..."
22033                           021 "Formatare axã"
22034                           060 "Valoarea minimã trebuie sã fie mai mare decât zero"
22035                           055 "Minima sã fie mai micã decât maxima"
22036                           031 "Formatare linii grilã..."
22037                           026 "Formatare linii grilã"
22038                           027 "Formatare linii proiecþie"
22039                           031 "Formatare linii proiecþie..."
22040                           029 "Formatare linii de serie"
22041                           033 "Formatare linii de serii..."
22042                           027 "Formatare cheie legendã"
22043                           029 "Formatare index legendã"
22044                           031 "Formatare cheie legendã..."
22045                           033 "Formatare index legendã..."
22046                           028 "Formatare legendã..."
22047                           026 "Formatare diagramã..."
22048                           022 "Bare eroare X"
22049                           022 "Bare eroare Y"
22050                           031 "Formatare bare de eroare..."
22051                           027 "Formatare bare de eroare"
22052                           021 "Sursã date"
22053                           021 "Serii date"
22054                           018 "Valori:"
22055                           022 "X - Valori:"
22056                           028 "Referinþã nevalabilã!"
22057                           035 "Formatare linii maxime-minime..."
22058                           031 "Formatare linii maxime-minime"
22059                           017 "Terminare"
22060                           022 "Asistent diagramã"
22061                           028 "Formatare bare pozitive..."
22062                           024 "Formatare bare pozitive"
22063                           030 "Formatare bare negative..."
22064                           026 "Formatare bare negative"
22065                           049 "Al doilea element plotare conþine ult.:"
22066                           016 "Valori"
22067                           056 "Al doilea plot conþine toate valorile mai mici decât:"
22068                           056 "Al doilea plot conþine toate valorile mai mici decât:"
22069                           057 "Utilizare mouse pt.schimb.segmente între graf.sect.circ."
22070                           065 "Un grafic de stoc max.-min.trebuie sã conþinã 3 serii."
22074                           036 "Tip diagramã nu a putut fi utilizat."
22075                           026 "Modificare valoare..."
22076                           032 "Formatare interval valori..."
22077                           028 "Formatare interval valori"
22078                           027 "Formatare zonã diaagramã"
22079                           094 "Distanþa trebuie sã fie între 0 ºi 500. Încercaþi din nou introducând o val.din acest interv."
22080                           111 "Unghiul primului segment trebuie sã fie între 0 ºi 360. Încercaþi din nou introd.unui unghi din acest interv."
22081                           104 "Mãrime diam.tor trebuie sã fie între 10 ºi 90. Încercaþi din nou introd.unei val.din acest interv."
22082                           096 "Suprapunerea treb.sã fie între -100 ºi 100. Încercaþi din nou introd. o val.din acest interv."
22083                           094 "Distanþa trebuie sã fie între 0 ºi 200. Încercaþi din nou introd.o val.din acest interv."
22084                           114 "Mãrimea celui de-al doilea plot trebuie sã fie între 5 ºi 200. Încercaþi din nou introd.o val.din acest interv."
22085                           095 "Numãrul trebuie sã fie între 1 ºi 31999. Încercaþi din nou introducând un nr.din acest interv."
22086                           020 "Distanþã:"
22088                           016 "Liniar"
22089                           021 "Logaritmic"
22090                           014 "Orã"
22091                           014 "Nimic"
22092                           031 "Mãrire axã scalã timp"
22093                           030 "Formatare zonã de plotare..."
22094                           016 "Formatare"
22095                           055 "Mãrime marcator trebuie sã fie mai mare decât 0"
22096                           047 "Unitatea majorã trebuie sã fie mai mare ca 0."
22097                           047 "Unitatea minorã trebuie sã fie mai mare ca 0."
22098                           024 "Valoare nevalabilã"
22099                           029 "Formatare suprafeþe sup. ..."
22100                           017 "Minim"
22101                           017 "Maxim"
22102                           017 "Optim"
22103                           018 "Poziþie"
22104                           034 "Formatare titlu interval de valori"
22105                           038 "Formatare titlu interval de valori..."
22106                           027 "Etichetã axã radar"
22107                           016 "Axa X"
22108                           016 "Axa Y"
22109                           016 "Axa Z"
22110                           014 "Grilã"
22111                           019 "Suprafaþã desen"
22112                           027 "Titlu interval de valori"
22113                           021 "Interval de valori"
22114                           019 "Bare negative"
22115                           017 "Bare pozitive"
22116                           024 "Linii maxime-minime"
22117                           020 "Bare de eroare"
22118                           022 "Linii de serii"
22119                           020 "Linii de proiecþie"
22120                           017 "Serii:"
22121                           019 "Texturã:"
22122                           017 "Etichetã:"
22123                           034 "Modif.segmente diagr.sect.circ."
22124                           027 "Adãug.linie de tendinþã..."
22125                           030 "Formatare linie de tendinþã..."
22126                           026 "Formatare linie tendinþã"
22127                           036 "Formatare etichetã lin.tendinþã..."
22128                           032 "Formatare etichetã linie tend."
22129                           020 "Linie de tendinþã"
22130                           025 "Etichetã linie tendinþã"
22131                           022 "Imagine 3D..."
22132                           049 "Rotaþia trebuie sã fie între 0 ºi 360."
22133                           048 "Înãlþimea trebuie sã fie între -90 ºi 90."
22134                           052 "Perspectiva trebuie sã fie între 0 ºi 100."
22135                           024 "Rând axa (Z):"
22136                           026 "Valoare axã (Y):"
22138                           022 "Formatare plan de bazã"
22139                           026 "Formatare plan de bazã..."
22140                           022 "Formatare pereþi"
22141                           026 "Formatare pereþi..."
22142                           015 "Copiere"
22143                           021 "Adâncime interval:"
22144                           025 "Sursã de date..."
22145                           025 "Formatare suprafeþe sup."
22146                           030 "Salvare ca model..."
22147                           060 "Fiºiere diagr. (*.icc)|*.icc|Toate fiºierele (*.*) | *.* ||"
22148                           026 "Salvare ca model"
22149                           089 "Mãrimea axei scalei de timp este prea mare. Va fi automat adaptatã."
22151                           027 "Încãrcare model..."
22152                           043 "Axa de valori (X) se intersecteazã la maxim"
22153                           023 "Încãrcare model"
22154                           036 "Axa de valori (X) se intersect.la:"
22155                           043 "Axa de valori (Y) se intersecteazã la maxim"
22156                           032 "Axa de valori se inters.la:"
22157                           116 "Numãrul de perioade de medie variabilã trebuie sã fie cel puþin 2 ºi mai micã decât nr.de puncte de date."
22158                           080 "Valorile prognozei în amonte ºi în aval trebuie sã fie mai mari decât 0."
22159                           021 "Etichetã radar"
22160                           032 "Formatare etichetã radar..."
22161                           028 "Formatare etichetã radar"
22162                           048 "Înãlþimea trebuie sã fie între -45 ºi 45."
22163                           047 "Înãlþimea trebuie sã fie între 10 ºi 90."
22164                           018 "Imagine 3D"
22165                           051 "Lãþimea unei zile trebuie sã fie mai mare decât 0!"
22166                           027 "Formatare tabel date"
22167                           031 "Formatare tabel date..."
22168                           020 "Tabel date"
