_SAPPCTXT_HEADER_               002 8000 COMNI CA 1100 OK 
DETAILED_ERR_DESCRIPTION        128 "Voleu una descripció de l'error detallada?\n"
ERR_CONNECTION_BROKEN           128 "Connexió amb el servidor d'aplicació cancel·lada\n\n"
ERR_OUT_OF_MEMORY               128 "Error del servidor intern. No hi ha més memòria disponible\n\n"
ERR_DATA_TOO_LARGE              128 "Les dades enviades al servidor superen el límit. \nCreeu un missatge d'error al sistema de suport de SAP.\n\n"
ERR_CON_STR_TOO_LARGE           128 "La cadena de connexió supera el límit màxim de 255 caràcters. Poseu-vos en contacte amb l'administrador del sistema.\n\n"
ERR_TIMEOUT                     128 "Límit de temps màxim excedit; Connexió finalitzada\n\n"
ERR_INVAL_PARAMS                128 "Paràmetres invàlids. Creeu un missatge d'error al sistema de suport de SAP.\n\n"
ERR_SERVER_OVERLOAD             128 "El servidor d'aplicació està sobrecarregat en aquests moments. Utilitzeu un altre servidor d'aplicació."
ERR_MAX_HANDLE_NUMBER           128 "S'ha arribat a la quantitat màxima d'anses. Ja no hi ha més memòria disponible.\n\n"
ERR_SERVER_SHUTDOWN             128 "Cancel·lació del servidor d'aplicació. Utilitzeu un altre servidor d'aplicació\n\n"
ERR_NO_RESPONSE                 128 "El servidor d'aplicació no reacciona. La causa poden ser problemes de xarxa\n\n"
ERR_VERSION_CONFLICT            128 "Utilitzeu una altra interfície gràfica d'usuari. Aquesta no es pot utilitzar amb aquest servidor d'aplicació\n\n"
ERR_HOLD_TIME                   128 "Les causes poden ser problemes de xarxa o la lentitud dels sistemes front-end\n\n"
ERR_AUTO_LOGOUT                 128 "Si és necessari, torni a establir la connexió amb el sistema\n\n"
ERR_MULTIPLE_SEND               128 "Creeu un missatge d'error al sistema de suport de SAP, que contingui una descripció detallada del problema.\n\n"
ERR_CHECK_SRV_NAME              128 "Verifiqueu el nomb del vostre servidor d'aplicació\n\n"
ERR_SNC                         128 "Error a SNC\n\n"
ERR_ACTIVATE_SNC                128 "Activeu la SNC tal i com ho necessiti el servidor\n\n"
ERR_DEACTIVATE_SNC              128 "Desactiveu la SNC tal i com ho necessiti el servidor\n\n"
ERR_INTERPRETATION              128 "L'error d'aplicació no es pot interpretar\n\n"
