_SAPPCTXT_HEADER_               002 8000 CHART FR 1100 OK 
100                             017 "Général"
1000                            034 "Valeur propriété invalide"
1001                            045 "Le dialogue ne peut pas être initialisé"
1002                            030 "Erreur lors de la sauvegarde"
1003                            031 "Erreur lors du chargement"
1004                            032 "Erreur d'impression"
1005                            039 "Mémoire disponible insuffisante"
1006                            042 "Ressources disponibles insuffisantes"
1007                            025 "Index invalide"
1008                            028 "Argument invalide"
4000                            018 "AAAA;0;0"
4001                            017 "'AA;0;1"
4002                            025 "Mois, AAAA;2;2"
4003                            022 "Mois, 'YY;2;3"
4004                            019 "Mois;2;4"
4005                            017 "Mois;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "JJ. Mois AAAA;3;8"
4009                            027 "JJ. Mois 'AA;3;9"
4010                            022 "JJ. Mois;3;10"
4011                            020 "JJ. M;3;11"
4012                            019 "J.M.;3;12"
4013                            034 "SS, JJ. - JJ. Mois;3;13"
4014                            034 "SS, JJ.MM. - JJ.MM.;3;14"
4015                            038 "SS, JJ.MM. - JJ.MM.AAAA;3;15"
4016                            036 "SS, JJ.MM. - JJ.MM.AA;3;16"
4017                            022 "S. Semaine;3;17"
4018                            016 "S;3;18"
4019                            027 "Date Windows;3;19"
4020                            029 "Jr JJ. Mois 'AA;4;20"
4021                            025 "Jr JJ. Mois;4;21"
4022                            026 "JJ. Mois 'AA;4;22"
4023                            022 "JJ. Mois;4;23"
4024                            029 "Jour (jours fériés);4;24"
4025                            017 "Jr;4;25"
4026                            016 "J;4;26"
4027                            025 "JJ.MM.AAAA;4;27"
4028                            027 "Jr, JJ.MM.AA;4;28"
4029                            030 "Jour, JJ.MM.AAAA;4;29"
4030                            023 "JJ.MM.AA;4;30"
4031                            018 "Jour;4;31"
4032                            028 "JJJ, JJ.MM.AA;4;32"
4033                            023 "JJJ AAAA;4;33"
4034                            022 "JJJ 'AA;4;34"
4035                            018 "JJJ;4;35"
4036                            027 "Date Windows;4;36"
4037                            032 "Jr JJ.MM.AA hh:mm;5;37"
4038                            029 "JJ.MM.AA hh:mm;5;38"
4039                            024 "Jour hh:mm;5;39"
4040                            023 "Jr hh:mm;5;40"
4041                            032 "Jr JJ. Mois, hh le;5;41"
4042                            029 "JJ. Mois, hh le;5;42"
4043                            028 "Jr Mois, hh le;5;43"
4044                            020 "hh le;5;44"
4045                            017 "hh;5;45"
4046                            034 "Date et heure Windows;5;46"
4047                            027 "Heure Windows;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "JJ;4;50"
4051                            020 "JJ.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "T AAAA;1;52"
4054                            020 "T 'AA;1;53"
4055                            021 "T.AAAA;1;54"
4056                            019 "T.AA;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "SC S;3;58"
4099                            012 "51"
4200                            017 "Janvier"
4201                            018 "Février"
4202                            015 "Mars"
4203                            015 "Avril"
4204                            013 "Mai"
4205                            014 "Juin"
4206                            014 "Juillet"
4207                            016 "Août"
4208                            019 "Septembre"
4209                            017 "Octobre"
4210                            018 "Novembre"
4211                            018 "Décembre"
4212                            013 "Janvier"
4213                            013 "Fév."
4214                            013 "Mars"
4215                            013 "Avr."
4216                            013 "Mai"
4217                            013 "Juin"
4218                            013 "Juil."
4219                            013 "Août"
4220                            013 "Septembre"
4221                            013 "Oct."
4222                            013 "Nov."
4223                            013 "Déc."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M."
4227                            011 "A"
4228                            011 "M."
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "Lundi"
4237                            017 "Mardi"
4238                            019 "Mercredi"
4239                            018 "Jeudi"
4240                            016 "Vendredi"
4241                            018 "Samedi"
4242                            016 "Dimanche"
4243                            012 "Lu"
4244                            012 "Ma"
4245                            012 "Me"
4246                            012 "Je"
4247                            012 "Ve"
4248                            012 "Sa"
4249                            012 "Di"
4250                            011 "M"
4251                            011 "D"
4252                            011 "M"
4253                            011 "D"
4254                            011 "C"
4255                            011 "L"
4256                            011 "L"
4257                            017 "Année(s)"
4258                            020 "Trimestre(s)"
4259                            018 "Mois"
4260                            017 "Semaine(s).."
4261                            016 "Jour(s)"
4262                            017 "Heure(s)..."
4263                            019 "Minute(s)"
4264                            019 "Seconde(s)"
4265                            022 "Temps de traitement"
4270                            014 "Trimestre"
4271                            014 "Semaine"
4400                            019 "Marquage"
4402                            014 "Auc."
4403                            014 "Texte"
4404                            016 "Linéaire"
4405                            021 "Logarithmique"
4406                            019 "Potentiel"
4407                            021 "Exponentielle"
4408                            016 "Mobile"
4409                            017 "Moyenne"
4415                            021 "Taille initiale"
4416                            015 "Quadrillé"
4417                            024 "Adapter"
4418                            018 "Adapter proport."
4419                            018 "Renseign. proport."
10012                           015 " A :"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Lettre (8,5 * 11 pouce)"
10015                           031 "Légal (8,5 * 14 pouce)"
10016                           016 "Normal"
10017                           027 "Impression de la page %ld"
10018                           020 "A partir de %s"
10019                           054 "Erreur d'ordre général survenue lors de l'impression"
10020                           070 "Espace mémoire sur le disque dur insuffisant pour impression"
10021                           055 "Espace mémoire insuffisant sur le disque dur"
10022                           097 "Pas d'imprimante installée. Installez une imprimante et réessayez"
10023                           028 "\t&[vue]\t&[date]"
10024                           024 "\tPage &[page]"
10027                           098 "Imprimante transférée ou connexion à imprimante non valable. L'imprimante standard est utilisée."
12000                           016 "Lundi"
12001                           017 "Mardi"
12002                           019 "Mercredi"
12003                           018 "Jeudi"
12004                           016 "Vendredi"
12005                           018 "Samedi"
12006                           016 "Dimanche"
12007                           017 "Jour de semaine"
12008                           019 "Week-ends"
12009                           018 "Jours fériés"
12010                           018 "Jours de congé"
12011                           025 "Jours d'absence"
12321                           015 "Reprendre"
15000                           016 "Annuler"
15001                           019 "\t Ctrl+Z"
15002                           014 "Déplacer"
15004                           021 "Modifier taille"
15007                           023 "Non disponible"
18000                           014 "Police"
18001                           016 "Police :"
18003                           022 "Style :"
18005                           016 "Taille"
18007                           017 "Couleur :"
18009                           017 "Effets"
18010                           024 "Barré"
18011                           020 "Souligné"
18012                           017 "Aperçu"
18013                           019 "Graffiti"
18600                           015 "Imprimer"
18601                           017 "Imprimante"
18604                           024 "Renvoyer impr. ds fich."
18605                           024 "Propriétés"
18606                           021 "Zone d'impression"
18607                           014 "Tout"
18608                           022 "De page :"
18611                           014 "à :"
18614                           016 "Copies"
18615                           028 "Nombre de copies :"
18619                           018 "Trier"
18620                           024 "Affichage de page"
18621                           024 "Configurer page..."
18700                           014 "Page"
18701                           022 "Format du papier :"
18703                           025 "Qualité d'impression :"
18705                           021 "Alignement"
18706                           019 "Vertical"
18707                           021 "Horizontal"
18708                           016 "Centrer"
18709                           023 "Horizontal"
18710                           021 "Vertical"
18800                           022 "Marges"
18801                           016 "Marges"
18802                           016 "A gauche :"
18805                           017 "A droite :"
18808                           015 "En haut :"
18811                           018 "En bas :"
18814                           017 "Ecarts"
18815                           018 "En-tête :"
18818                           018 "Pied de page :"
18821                           017 "Aperçu"
18900                           017 "Options"
18901                           017 "Chang. échelle"
18902                           017 "Varier :"
18905                           018 "Adapter à :"
18908                           017 "Page(s)"
18909                           019 "Vertical"
18910                           021 "Horizontal"
18911                           021 "Options..."
19000                           015 "Imprimer"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "JHM,"
20017                           114 "Les marges de l'imprimante sont plus larges que celles de la page.\nVoulez-vous corriger les marges de la page ?"
20018                           056 "Avant d'imprimer, sélectionnez une imprimante."
20019                           020 "Mise en page"
20020                           014 "Autom."
20023                           041 "Ressources disponibles insuffisantes"
20024                           029 "Erreur lors de la sauvegarde"
20025                           030 "Erreur lors du chargement"
20026                           017 "Couleur :"
20027                           022 "Avant-plan :"
20028                           022 "Arrière-plan :"
20029                           023 "Couleur hachurée :"
20030                           016 "De :"
20031                           014 "A :"
20032                           019 "Motif :"
20033                           017 "Hachure :"
20034                           020 "Dégradé :"
20064                           019 "Imprimer..."
20066                           024 "Mise en page..."
20072                           030 "Fermer affichage de page"
20087                           017 "Inconnu"
20088                           014 "Fin"
20089                           021 "Extra-léger"
