_SAPPCTXT_HEADER_               002 8000 CHART ES 1100 OK 
100                             017 "Generalidades"
1000                            034 "Valor de propiedad no válido"
1001                            045 "Imposible inicializar diálogo"
1002                            030 "Error al grabar"
1003                            031 "Error al cargar"
1004                            032 "Error al imprimir"
1005                            039 "No hay suficiente memoria disponible"
1006                            042 "No hay suficientes recursos disponibles"
1007                            025 "Índice no válido"
1008                            028 "Argumento no válido"
4000                            018 "AAAA;0;0"
4001                            017 "'AA;0;1"
4002                            025 "Mes, AAAA;2;2"
4003                            022 "Mes, 'AA;2;3"
4004                            019 "Mes;2;4"
4005                            017 "Mes;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "DD. Mes AAAA;3;8"
4009                            027 "DD. Mes 'AA;3;9"
4010                            022 "DD. Mes;3;10"
4011                            020 "DD. M;3;11"
4012                            019 "D.M.;3;12"
4013                            034 "SS, DD. - DD. Mes;3;13"
4014                            034 "SS, DD.MM. - DD.MM.;3;14"
4015                            038 "SS, DD.MM. - DD.MM.AAAA;3;15"
4016                            036 "SS, DD.MM. - DD.MM.AA;3;16"
4017                            022 "S. Semana;3;17"
4018                            016 "S;3;18"
4019                            027 "Fecha Windows;3;19"
4020                            029 "Fe DD. Mes 'AA;4;20"
4021                            025 "Fe DD. Mes;4;21"
4022                            026 "DD. Mes 'AA;4;22"
4023                            022 "DD. Mes;4;23"
4024                            029 "Día (festivos);4;24"
4025                            017 "Dí;4;25"
4026                            016 "D;4;26"
4027                            025 "DD.MM.AAAA;4;27"
4028                            027 "Dí, DD.MM.AA;4;28"
4029                            030 "Día, DD.MM.AAAA;4;29"
4030                            023 "DD.MM.AA;4;30"
4031                            018 "Día;4;31"
4032                            028 "DDD, DD.MM.AA;4;32"
4033                            023 "DDD AAAA;4;33"
4034                            022 "DDD 'AA;4;34"
4035                            018 "DDD;4;35"
4036                            027 "Fecha Windows;4;36"
4037                            032 "Dí DD.MM.AA hh:mm;5;37"
4038                            029 "DD.MM.AA hh:mm;5;38"
4039                            024 "Día hh:mm;5;39"
4040                            023 "Dí hh:mm;5;40"
4041                            032 "Dí DD. Mes, hh am;5;41"
4042                            029 "DD. Mes, hh am;5;42"
4043                            028 "Dí Mes, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "Fecha y hora Windows;5;46"
4047                            027 "Hora Windows;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "DD;4;50"
4051                            020 "DD.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "T AAAA;1;52"
4054                            020 "T 'AA;1;53"
4055                            021 "T.AAAA;1;54"
4056                            019 "T.AA;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "SC S;3;58"
4099                            012 "51"
4200                            017 "Enero"
4201                            018 "Febrero"
4202                            015 "Marzo"
4203                            015 "Abril"
4204                            013 "Mayo"
4205                            014 "Junio"
4206                            014 "Julio"
4207                            016 "Agosto"
4208                            019 "Septiembre"
4209                            017 "Octubre"
4210                            018 "Noviembre"
4211                            018 "Diciembre"
4212                            013 "Enero"
4213                            013 "Feb."
4214                            013 "Marzo"
4215                            013 "Abril"
4216                            013 "Mayo"
4217                            013 "Junio"
4218                            013 "Julio"
4219                            013 "Agosto"
4220                            013 "Sept."
4221                            013 "Oct."
4222                            013 "Nov."
4223                            013 "Diciembre"
4224                            011 "E"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "Lunes"
4237                            017 "Martes"
4238                            019 "Miércoles"
4239                            018 "Jueves"
4240                            016 "Viernes"
4241                            018 "Sábado"
4242                            016 "Domingo"
4243                            012 "Lu"
4244                            012 "Ma"
4245                            012 "Mi"
4246                            012 "Ju"
4247                            012 "Vi"
4248                            012 "Sá"
4249                            012 "Do"
4250                            011 "L"
4251                            011 "M"
4252                            011 "M"
4253                            011 "J"
4254                            011 "V"
4255                            011 "S"
4256                            011 "D"
4257                            017 "Año(s)"
4258                            020 "Trimestre(s)"
4259                            018 "Mes(es)"
4260                            017 "Semana(s)"
4261                            016 "Día(s)"
4262                            017 "Hora(s)"
4263                            019 "Minuto(s)"
4264                            019 "Segundo(s)"
4265                            022 "Tiempo de tratamiento"
4270                            014 "Trim."
4271                            014 "Semana"
4400                            019 "Marca"
4402                            014 "Sin"
4403                            014 "Texto"
4404                            016 "Lineal"
4405                            021 "Logarítmico"
4406                            019 "Potencial"
4407                            021 "Exponencial"
4408                            016 "Flotante"
4409                            017 "Promedio"
4415                            021 "Tamaño original"
4416                            015 "En mosaico"
4417                            024 "Adecuar"
4418                            018 "Aducar proporcion."
4419                            018 "Rellenar proporc."
10012                           015 " el"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Carta (8.5 * 11 pulg.)"
10015                           031 "Oficio (8.5 * 14 pulg.)"
10016                           016 "Normal"
10017                           027 "Imprimiendo página %ld"
10018                           020 "A partir de %s"
10019                           054 "Error no específico al imprimir"
10020                           070 "Para imprimir falta espacio de memoria en el disco duro"
10021                           055 "Falta espacio de memoria en el disco duro"
10022                           097 "No hay ninguna impresora instalada: Instale una impresora y repita el proceso de impresión"
10023                           028 "\t&[view]\t&[date]"
10024                           024 "\tPág. &[page]"
10027                           098 "La impresora indicada o conexión a impresora no son válidas. Se utilizará la impresora estándar"
12000                           016 "Lunes"
12001                           017 "Martes"
12002                           019 "Miércoles"
12003                           018 "Jueves"
12004                           016 "Viernes"
12005                           018 "Sábado"
12006                           016 "Domingo"
12007                           017 "Día de la semana"
12008                           019 "Fines de semana"
12009                           018 "Días festivos"
12010                           018 "Días de vacaciones"
12011                           025 "Días de absentismo"
12321                           015 "Tomar"
15000                           016 "Deshacer"
15001                           019 "\t Ctrl+Z"
15002                           014 "Desplazar"
15004                           021 "Modif.tamaño"
15007                           023 "No disponible"
18000                           014 "Font"
18001                           016 "Tipo de font"
18003                           022 "Estilo"
18005                           016 "Tamaño"
18007                           017 "Color"
18009                           017 "Efectos"
18010                           024 "Tachado"
18011                           020 "Subrayado"
18012                           017 "Pres.prelimin."
18013                           019 "Graffiti"
18600                           015 "Imprimir"
18601                           017 "Impresora"
18604                           024 "Imprimir en fichero"
18605                           024 "Propiedades"
18606                           021 "Ámbito de impresión"
18607                           014 "Todo"
18608                           022 "páginas de"
18611                           014 "a"
18614                           016 "Copias"
18615                           028 "Ctd.copias"
18619                           018 "Compaginar"
18620                           024 "Presentación preliminar"
18621                           024 "Formato página..."
18700                           014 "Pág."
18701                           022 "Tamaño papel"
18703                           025 "Calidad impresión"
18705                           021 "Orientación"
18706                           019 "Vertical"
18707                           021 "Horizontal"
18708                           016 "Centro"
18709                           023 "Horizontal"
18710                           021 "Vertical"
18800                           022 "Márgenes"
18801                           016 "Márgenes"
18802                           016 "Izquierda"
18805                           017 "Derecha"
18808                           015 "Arriba"
18811                           018 "Abajo"
18814                           017 "Distancias"
18815                           018 "Cabecera"
18818                           018 "Pie de página"
18821                           017 "Pres.prelimin."
18900                           017 "Opciones"
18901                           017 "Graduación"
18902                           017 "Ajustar escala"
18905                           018 "Adaptar a"
18908                           017 "Página(s)"
18909                           019 "Vertical"
18910                           021 "Horizontal"
18911                           021 "Opciones..."
19000                           015 "Imprimir"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "DHM,"
20017                           114 "Los márgenes de la impresora son más anchos que los de la página.\n¿Deben ajustarse los márgenes a la página?"
20018                           056 "Si desea imprimir, seleccione una impresora"
20019                           020 "Configurar página"
20020                           014 "Auto"
20023                           041 "No hay suficientes recursos disponibles"
20024                           029 "Error al grabar"
20025                           030 "Error al cargar"
20026                           017 "Color"
20027                           022 "Primer plano"
20028                           022 "Segundo plano"
20029                           023 "Color sombreado"
20030                           016 "De"
20031                           014 "A"
20032                           019 "Diseño"
20033                           017 "Sombreado"
20034                           020 "Trayectoria"
20064                           019 "Imprimir..."
