_SAPPCTXT_HEADER_               002 8000 CHART DE 1100 OK 
100                             017 "Allgemein"
1000                            034 "Ungültiger Eigenschaftswert"
1001                            045 "Der Dialog kann nicht initialisiert werden"
1002                            030 "Fehler beim Sichern"
1003                            031 "Fehler beim Laden"
1004                            032 "Fehler beim Drucken"
1005                            039 "Zu wenig Speicher verfügbar"
1006                            042 "Zu wenige Ressourcen verfügbar"
1007                            025 "Ungültiger Index"
1008                            028 "Ungültiges Argument"
4000                            018 "JJJJ;0;0"
4001                            017 "'JJ;0;1"
4002                            025 "Monat, JJJJ;2;2"
4003                            022 "Mon, 'JJ;2;3"
4004                            019 "Monat;2;4"
4005                            017 "Mon;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "TT. Monat JJJJ;3;8"
4009                            027 "TT. Monat 'JJ;3;9"
4010                            022 "TT. Mon;3;10"
4011                            020 "TT. M;3;11"
4012                            019 "T.M.;3;12"
4013                            034 "WW, TT. - TT. Monat;3;13"
4014                            034 "WW, TT.MM. - TT.MM.;3;14"
4015                            038 "WW, TT.MM. - TT.MM.JJJJ;3;15"
4016                            036 "WW, TT.MM. - TT.MM.JJ;3;16"
4017                            022 "W. Woche;3;17"
4018                            016 "W;3;18"
4019                            027 "Windows-Datum;3;19"
4020                            029 "Ta TT. Mon 'JJ;4;20"
4021                            025 "Ta TT. Mon;4;21"
4022                            026 "TT. Mon 'JJ;4;22"
4023                            022 "TT. Mon;4;23"
4024                            029 "Tag (Feiertage);4;24"
4025                            017 "Ta;4;25"
4026                            016 "T;4;26"
4027                            025 "TT.MM.JJJJ;4;27"
4028                            027 "Ta, TT.MM.JJ;4;28"
4029                            030 "Tag, TT.MM.JJJJ;4;29"
4030                            023 "TT.MM.JJ;4;30"
4031                            018 "Tag;4;31"
4032                            028 "TTT, TT.MM.JJ;4;32"
4033                            023 "TTT JJJJ;4;33"
4034                            022 "TTT 'JJ;4;34"
4035                            018 "TTT;4;35"
4036                            027 "Windows-Datum;4;36"
4037                            032 "Ta TT.MM.JJ hh:mm;5;37"
4038                            029 "TT.MM.JJ hh:mm;5;38"
4039                            024 "Tag hh:mm;5;39"
4040                            023 "Ta hh:mm;5;40"
4041                            032 "Ta TT. Mon, hh am;5;41"
4042                            029 "TT. Mon, hh am;5;42"
4043                            028 "Ta Mon, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "Win.-Datum und -Zeit;5;46"
4047                            027 "Windows-Zeit;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "TT;4;50"
4051                            020 "TT.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "Q JJJJ;1;52"
4054                            020 "Q 'JJ;1;53"
4055                            021 "Q.JJJJ;1;54"
4056                            019 "Q.JJ;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "KW W;3;58"
4099                            012 "51"
4200                            017 "Januar"
4201                            018 "Februar"
4202                            015 "März"
4203                            015 "April"
4204                            013 "Mai"
4205                            014 "Juni"
4206                            014 "Juli"
4207                            016 "August"
4208                            019 "September"
4209                            017 "Oktober"
4210                            018 "November"
4211                            018 "Dezember"
4212                            013 "Jan"
4213                            013 "Feb."
4214                            013 "Mrz."
4215                            013 "Apr."
4216                            013 "Mai"
4217                            013 "Jun."
4218                            013 "Jul."
4219                            013 "Aug."
4220                            013 "Sept."
4221                            013 "Okt."
4222                            013 "Nov."
4223                            013 "Dez."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "Montag"
4237                            017 "Dienstag"
4238                            019 "Mittwoch"
4239                            018 "Donnerstag"
4240                            016 "Freitag"
4241                            018 "Samstag"
4242                            016 "Sonntag"
4243                            012 "Mo"
4244                            012 "Di"
4245                            012 "Mi"
4246                            012 "Do"
4247                            012 "Fr"
4248                            012 "Sa"
4249                            012 "So"
4250                            011 "M"
4251                            011 "D"
4252                            011 "M"
4253                            011 "D"
4254                            011 "F"
4255                            011 "S"
4256                            011 "S"
4257                            017 "Jahr(e)"
4258                            020 "Quartal(e)"
4259                            018 "Monat(e)"
4260                            017 "Woche(n)...."
4261                            016 "Tag(e)"
4262                            017 "Stunde(n)..."
4263                            019 "Minute(n)"
4264                            019 "Sekunde(n)"
4265                            022 "Arbeitszeit"
4270                            014 "Qrt."
4271                            014 "Woche"
4400                            019 "Markierung"
4402                            014 "Ohne"
4403                            014 "Text"
4404                            016 "Linear"
4405                            021 "Logarithmisch"
4406                            019 "Potentiell"
4407                            021 "Exponentiell"
4408                            016 "Gleitender"
4409                            017 "Durchschnitt"
4415                            021 "Originalgröße"
4416                            015 "Gekachelt"
4417                            024 "Anpassen"
4418                            018 "Proport. einpassen"
4419                            018 "Proport. ausfüllen"
10012                           015 " an:"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Letter (8,5 * 11 Zoll)"
10015                           031 "Legal (8,5 * 14 Zoll)"
10016                           016 "Normal"
10017                           027 "Seite %ld wird gedruckt"
10018                           020 "ab %s"
10019                           054 "Allgemeiner Fehler beim Drucken aufgetreten"
10020                           070 "Nicht genügend Speicherplatz auf Festplatte beim Drucken vorhanden"
10021                           055 "Nicht genügend Speicherplatz auf Festplatte vorhanden"
10022                           097 "Kein Drucker installiert. Installieren Sie einen Drucker, und wiederholen Sie den Druckvorgang"
10023                           028 "\t&[view]\t&[date]"
10024                           024 "\tSeite &[page]"
10027                           098 "Der übergebene Drucker oder Druckeranschluss ist ungültig. Es wird der Standarddrucker verwendet"
12000                           016 "Montag"
12001                           017 "Dienstag"
12002                           019 "Mittwoch"
12003                           018 "Donnerstag"
12004                           016 "Freitag"
12005                           018 "Samstag"
12006                           016 "Sonntag"
12007                           017 "Wochentag"
12008                           019 "Wochenenden"
12009                           018 "Feiertage"
12010                           018 "Urlaubstage"
12011                           025 "Ausfalltage"
12321                           015 "Anwenden"
15000                           016 "&Rückgängig"
15001                           019 "\tStrg+Z"
15002                           014 "Verschieben"
15004                           021 "Größe ändern"
15007                           023 "Nicht verfügbar"
18000                           014 "Schrift"
18001                           016 "&Schriftart:"
18003                           022 "S&til:"
18005                           016 "&Größe"
18007                           017 "&Farbe:"
18009                           017 "Effekte"
