_SAPPCTXT_HEADER_               002 8000 FESEC JA 8000 OK 
SEC_QUERY_DIALOG_TITLE          100 "SAP GUI セキュリティ"
SEC_DIRECTORY_CREATE            255 "ディレクトリ\n\n%1\n\nを次のディレクトリに作成しようとしています。\n\n%2\n\n親ディレクトリとそのすべてのサブディレクトリを変更する権限を付与しますか。"
SEC_DIRECTORY_REPLACE           255 "次のディレクトリの作成を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_DIRECTORY_CREATE_NO_ROOT    255 "次のディレクトリの作成を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_DIRECTORY_ACCESS            255 "次のディレクトリへのアクセスを試みています。\n\n%s\n\nこのファイルへのアクセス権を付与しますか。"
SEC_DIRECTORY_MODIFY            255 "次のディレクトリへの変更を試みています。\n\n%s\n\nこのファイルへのアクセス権を付与しますか。"
SEC_DIRECTORY_DELETE            255 "次のディレクトリの削除を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_FILE_CREATE                 255 "ファイル\n\n%1\n\nを次のディレクトリに作成しようとしています。\n\n%2\n\n親ディレクトリとそのすべてのサブディレクトリを変更する権限を付与しますか。"
SEC_FILE_CREATE_NO_ROOT         255 "次のファイルの作成を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_FILE_REPLACE                255 "次のファイルの置換を試みています。\n\n%s\n\nこれを許可しますか。"
SEC_FILE_ACCESS                 255 "次のファイルへのアクセスを試みています。\n\n%s\n\nこのファイルへのアクセス権を付与しますか。"
SEC_FILE_MODIFY                 255 "次のファイルへの変更を試みています。\n\n%s\n\nこのファイルへのアクセス権を付与しますか。"
SEC_FILE_DELETE                 255 "次のファイルの削除を試みています。\n\n%s\n\nこのファイルへのアクセス権を付与しますか。"
SEC_PROGRAM_EXECUTE             255 "次のプログラムを実行、または次のファイルを表示しようとしています。\n\n%s\n\nこのプログラム/ファイルへのアクセス権限を付与しますか。"
