_SAPPCTXT_HEADER_               002 8000 CHART FI 1100 OK 
100                             017 "Yleist‰"
1000                            034 "Virheellinen ominaisuusarvo"
1001                            045 "Suorak‰yttˆ‰ ei voi alustaa"
1002                            030 "Tallennusvirhe"
1003                            031 "Virhe latauksessa"
1004                            032 "Tulostusvirhe"
1005                            039 "Liian v‰h‰n muistia k‰ytett‰viss‰"
1006                            042 "Liian v‰h‰n resursseja k‰ytett‰viss‰"
1007                            025 "Virheellinen indeksi"
1008                            028 "Virheellinen argumentti"
4000                            018 "VVVV;0;0"
4001                            017 "'VV;0;1"
4002                            025 "Kuukausi, VVVV;2;2"
4003                            022 "Kk., 'VV;2;3"
4004                            019 "Kuukausi;2;4"
4005                            017 "Kk;2;5"
4006                            015 "K;2;6"
4007                            015 "K;2;7"
4008                            028 "PP. kuukausi VVVV;3;8"
4009                            027 "PP. kuukausi 'VV;3;9"
4010                            022 "PP. kk; 3;10"
4011                            020 "PP. K;3;11"
4012                            019 "P.K.;3;12"
4013                            034 "Vk, pp. - pp. kuukausi;3;13"
4014                            034 "Vk, pp.kk. - pp.kk.;3;14"
4015                            038 "Vk, pp.kk. - pp.kk.vvvv;3;15"
4016                            036 "Vk, pp.kk. - pp.kk.vv;3;16"
4017                            022 "v. viikko;3;17"
4018                            016 "v;3;18"
4019                            027 "Windows-p‰iv‰ys;3;19"
4020                            029 "Pv PP. kk 'VV;4;20"
4021                            025 "Pv PP. kk;4;21"
4022                            026 "PP. kk 'VV;4;22"
4023                            022 "PP. kk;4;23"
4024                            029 "P‰iv‰ (juhlap‰iv‰);4;24"
4025                            017 "Pv;4;25"
4026                            016 "P;4;26"
4027                            025 "PP.KK.VVVV;4;27"
4028                            027 "Pv, PP.KK.VV;4;28"
4029                            030 "P‰iv‰, PP.KK.VVVV;4;29"
4030                            023 "PP.KK.VV;4;30"
4031                            018 "P‰iv‰;4;31"
4032                            028 "PPP, PP.KK.VV;4;32"
4033                            023 "PPP VVVV;4;33"
4034                            022 "PPP 'VV;4;34"
4035                            018 "PPP;4;35"
4036                            027 "Windows-p‰iv‰ys;4;36"
4037                            032 "Pv PP.KK.VV hh:mm;5;37"
4038                            029 "PP.KK.VV hh:mm;5;38"
4039                            024 "Pv hh:mm;5;39"
4040                            023 "Pv hh:mm;5;40"
4041                            032 "Pv PP. kk, hh am;5;41"
4042                            029 "PP. kk, hh am;5;42"
4043                            028 "Pv kk, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "Windows-pvm ja -aika;5;46"
4047                            027 "Windows-aika;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "PP;4;50"
4051                            020 "PP.KK;4;59"
4052                            017 "KK;6;51"
4053                            021 "N VVVV;1;52"
4054                            020 "N 'VV;1;53"
4055                            021 "N.VVVV;1;54"
4056                            019 "N.VV;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "KV V;3;58"
4099                            012 "51"
4200                            017 "Tammikuu"
4201                            018 "Helmikuu"
4202                            015 "Maaliskuu"
4203                            015 "Huhtikuu"
4204                            013 "Toukokuu"
4205                            014 "Kes‰kuu"
4206                            014 "Hein‰kuu"
4207                            016 "Elokuu"
4208                            019 "Syyskuu"
4209                            017 "Lokakuu"
4210                            018 "Marraskuu"
4211                            018 "Joulukuu"
4212                            013 "Tammi"
4213                            013 "Helmi"
4214                            013 "Maalis"
4215                            013 "Huhti"
4216                            013 "Touko"
4217                            013 "Kes‰"
4218                            013 "Hein‰"
4219                            013 "Elo"
4220                            013 "Syys"
4221                            013 "Loka"
4222                            013 "Marras"
4223                            013 "Joulu"
4224                            011 "T"
4225                            011 "H"
4226                            011 "M"
4227                            011 "H"
4228                            011 "T"
4229                            011 "K"
4230                            011 "H"
4231                            011 "E"
4232                            011 "S"
4233                            011 "L"
4234                            011 "M"
4235                            011 "J"
4236                            016 "Maanantai"
4237                            017 "Tiistai"
4238                            019 "Keskiviikko"
4239                            018 "Torstai"
4240                            016 "Perjantai"
4241                            018 "Lauantai"
4242                            016 "Sunnuntai"
4243                            012 "Ma"
4244                            012 "Ti"
4245                            012 "Ke"
4246                            012 "To"
4247                            012 "Pe"
4248                            012 "La"
4249                            012 "Su"
4250                            011 "M"
4251                            011 "T"
4252                            011 "K"
4253                            011 "T"
4254                            011 "P"
4255                            011 "L"
4256                            011 "S"
4257                            017 "Vuosi/vuotta"
4258                            020 "Nelj‰nnes(t‰)"
4259                            018 "Kk"
4260                            017 "Viikko(a)...."
4261                            016 "P‰iv‰(‰)"
